section,subcategory,fy_2019_20_actual,fy_2020_21_adopted,fy_2020_21_amended,fy_2021_22_adopted,fy_2021_22_percent_total,fy_2022_23_projected
enterprise_funds,Fire,,,,,,
special_revenue,Fire,,,,,,
general_fund,Development Services,,,,7217737,,
enterprise_funds,Development Services,,,,,,
special_revenue,Development Services,,,,30703632,,
general_fund,Housing Services,,,,,,
enterprise_funds,Housing Services,,,,24547897,,
special_revenue,Housing Services,,,,50000,,
general_fund,Engineering,,,,4700571,,
enterprise_funds,Engineering,,,,11985484,,
special_revenue,Engineering,,,,6380693,,
general_fund,Park & Recreation,,,,14567701,,
enterprise_funds,Park & Recreation,,,,567880,,
special_revenue,Park & Recreation,,,,29995,,
general_fund,Neighborhood Services,,,,2897864,,
enterprise_funds,Neighborhood Services,,,,,,
special_revenue,Neighborhood Services,,,,9445047,,
general_fund,Library,,,,9043405,,
enterprise_funds,Library,,,,,,
special_revenue,Library,,,,441400,,
general_fund,Information Technology,,,,7764881,,
enterprise_funds,Information Technology,,,,,,
special_revenue,Information Technology,,,,,,
general_fund,City Manager,,,,8088916,,
enterprise_funds,City Manager,,,,,,
special_revenue,City Manager,,,,73000,,
general_fund,Legal,,,,3593077,,
enterprise_funds,Legal,,,,,,
special_revenue,Legal,,,,,,
general_fund,City Clerk,,,,1144046,,
enterprise_funds,City Clerk,,,,,,
special_revenue,City Clerk,,,,,,
general_fund,Civil and Human Rights,,,,821536,,
enterprise_funds,Civil and Human Rights,,,,,,
special_revenue,Civil and Human Rights,,,,,,
general_fund,Mayor & Council,,,,503183,,
enterprise_funds,Mayor & Council,,,,,,
special_revenue,Mayor & Council,,,,300,,
